,Unnamed: 0,xmin,ymin,xmax,ymax,confidence,raw_x,raw_y,x,y,d,r,g,b
0,0,360.5,17.6875,392.0,60.875,0.463134765625,376.25,39.28125,260.84730568910254,194.187744140625,185,63,76,77
1,1,357.25,14.96875,391.75,60.53125,0.65478515625,374.5,37.75,260.19732683404555,193.123046875,188,52,63,67
2,2,358.25,14.84375,393.25,61.03125,0.67578125,375.75,37.9375,260.6615974448006,193.25341796875,182,82,88,93
3,3,360.75,13.5,394.75,63.25,0.826171875,377.75,38.375,261.4044304220085,193.5576171875,171,142,147,150
4,4,361.5,13.546875,395.0,63.5625,0.8408203125,378.25,38.5546875,261.5901386663105,193.68255615234375,167,115,116,124
5,5,359.5,13.375,396.5,60.625,0.82080078125,378.0,37.0,261.4972845441595,192.6015625,173,111,115,122
6,6,360.5,13.03125,397.5,60.71875,0.87060546875,379.0,36.875,261.8687010327635,192.5146484375,190,69,72,79
7,7,361.75,9.671875,400.25,60.75,0.837890625,381.0,35.2109375,262.6115340099715,191.35760498046875,177,153,154,161
8,8,365.75,8.859375,398.75,58.25,0.78369140625,382.25,33.5546875,263.0758046207265,190.20599365234375,189,150,153,161
9,9,366.75,9.203125,399.25,56.9375,0.71728515625,383.0,33.0703125,263.35436698717945,189.86920166015625,174,143,146,154
10,10,366.5,8.515625,399.5,55.25,0.72705078125,383.0,31.8828125,263.35436698717945,189.04351806640625,174,155,156,163
11,11,368.75,8.390625,399.75,54.4375,0.77978515625,384.25,31.4140625,263.81863759793447,188.71759033203125,171,146,146,156
12,12,369.25,7.328125,399.75,53.6875,0.79541015625,384.5,30.5078125,263.91149172008545,188.08746337890625,175,146,145,155
13,13,370.0,8.296875,400.0,54.0625,0.8125,385.0,31.1796875,264.0971999643874,188.55462646484375,162,140,142,149
14,14,373.0,2.390625,400.5,57.5625,0.8349609375,386.75,29.9765625,264.74717881944446,187.71807861328125,165,131,132,141
15,15,374.5,1.390625,400.0,60.3125,0.86181640625,387.25,30.8515625,264.93288706374636,188.32647705078125,163,118,126,131
16,16,374.75,2.59375,398.75,62.09375,0.8056640625,386.75,32.34375,264.74717881944446,189.364013671875,165,91,104,107
17,17,371.0,9.84375,397.0,56.90625,0.71484375,384.0,33.375,263.7257834757835,190.0810546875,171,64,80,82
18,18,368.0,9.828125,397.0,57.9375,0.66650390625,382.5,33.8828125,263.1686587428775,190.43414306640625,169,60,78,80
19,19,368.0,7.921875,399.0,56.875,0.60400390625,383.5,32.3984375,263.54007523148147,189.40203857421875,166,57,74,72
20,20,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
21,21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
22,22,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
23,23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
24,24,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
25,25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
26,26,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
27,27,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
