,Unnamed: 0,xmin,ymin,xmax,ymax,confidence,raw_x,raw_y,x,y,d,r,g,b
746,746,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
747,747,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
748,748,199.375,118.4375,231.875,143.25,0.493896484375,215.625,130.84375,201.1885322070869,257.852294921875,178,126,133,140
749,749,200.25,118.5,233.0,143.75,0.484375,216.625,131.125,201.55994869569088,258.0478515625,175,128,133,139
750,750,200.25,118.5625,233.0,143.625,0.408447265625,216.625,131.09375,201.55994869569088,258.026123046875,181,119,132,140
751,751,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
752,752,201.625,119.4375,234.625,144.625,0.595703125,218.125,132.03125,202.11707342859685,258.677978515625,173,126,134,143
753,753,201.5,119.5625,234.75,144.625,0.54296875,218.125,132.09375,202.11707342859685,258.721435546875,192,125,133,142
754,754,201.125,119.875,234.875,144.625,0.45751953125,218.0,132.25,202.07064636752133,258.830078125,191,126,133,141
755,755,201.75,119.625,234.75,144.375,0.419677734375,218.25,132.0,202.16350048967234,258.65625,193,125,132,140
756,756,201.375,119.75,234.625,144.5,0.52099609375,218.0,132.125,202.07064636752133,258.7431640625,174,124,131,139
757,757,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
758,758,205.5,119.8125,238.25,145.0,0.52392578125,221.875,132.40625,203.5098852608618,258.938720703125,184,123,132,139
759,759,209.75,121.125,240.0,144.625,0.475341796875,224.875,132.875,204.62413472667376,259.2646484375,9,127,135,144
760,760,209.625,120.6875,240.875,144.75,0.464111328125,225.25,132.71875,204.7634159099003,259.156005859375,204,121,126,137
761,761,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
762,762,209.5,120.9375,241.0,144.5,0.462890625,225.25,132.71875,204.7634159099003,259.156005859375,194,121,129,135
763,763,210.0,121.0625,241.5,144.5,0.490478515625,225.75,132.78125,204.94912415420228,259.199462890625,239,124,129,137
764,764,210.875,120.75,241.875,144.5,0.440185546875,226.375,132.625,205.18125945957976,259.0908203125,210,119,127,134
765,765,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
766,766,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
767,767,221.5,118.625,253.75,144.625,0.517578125,237.625,131.625,209.35969495637463,258.3955078125,190,108,118,127
768,768,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
769,769,222.25,118.25,254.75,143.75,0.462890625,238.5,131.0,209.68468438390312,257.9609375,185,107,122,130
770,770,227.0,118.4375,257.75,144.0,0.45849609375,242.375,131.21875,211.12392327724356,258.113037109375,198,103,120,125
771,771,230.125,117.6875,260.5,143.0,0.5478515625,245.3125,130.34375,212.21495921251778,257.504638671875,196,100,111,124
772,772,231.375,117.375,261.25,142.625,0.5576171875,246.3125,130.0,212.58637570112177,257.265625,197,101,113,125
773,773,231.5,117.375,261.25,142.625,0.466064453125,246.375,130.0,212.60958923165953,257.265625,208,98,110,122
