,Unnamed: 0,xmin,ymin,xmax,ymax,confidence,raw_x,raw_y,x,y,d,r,g,b
0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
1,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
2,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
3,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
4,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
5,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
6,6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
7,7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
8,8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
9,9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
10,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
11,11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
12,12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
13,13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
14,14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
15,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
16,16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
17,17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
18,18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
19,19,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
20,20,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
21,21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
22,22,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
23,23,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
24,24,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
25,25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
26,26,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
27,27,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
28,28,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
29,29,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
30,30,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
31,31,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
32,32,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
33,33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
34,34,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
35,35,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
36,36,44.90625,75.6875,73.4375,111.9375,0.40576171875,59.171875,93.8125,143.07926188846596,232.10400390625,246,175,176,183
37,37,45.96875,75.75,73.375,111.75,0.55322265625,59.671875,93.75,143.26497013276798,232.060546875,247,175,174,183
38,38,45.8125,75.5,73.125,111.25,0.57177734375,59.46875,93.375,143.1895261585203,231.7998046875,248,174,176,181
39,39,46.21875,75.1875,73.1875,111.0625,0.60009765625,59.703125,93.125,143.27657689803686,231.6259765625,248,174,174,182
40,40,46.8125,74.375,72.5625,111.25,0.677734375,59.6875,92.8125,143.2707735154024,231.40869140625,248,174,175,182
41,41,46.375,75.0,73.1875,110.875,0.615234375,59.78125,92.9375,143.30559381120904,231.49560546875,250,174,175,182
42,42,47.25,74.125,73.1875,111.25,0.68798828125,60.21875,92.6875,143.4680885249733,231.32177734375,249,173,174,179
43,43,48.75,74.5,73.25,107.5,0.70361328125,61.0,91.0,143.75825765669515,230.1484375,249,171,171,178
44,44,47.53125,73.9375,73.9375,110.5625,0.68359375,60.734375,92.25,143.65960015190973,231.017578125,250,174,174,181
45,45,48.5,74.125,73.3125,107.125,0.7021484375,60.90625,90.625,143.7234373608885,229.8876953125,247,172,173,180
46,46,47.5625,73.6875,74.25,110.4375,0.67578125,60.90625,92.0625,143.7234373608885,230.88720703125,248,171,172,177
47,47,47.3125,73.0625,74.0,110.0625,0.67431640625,60.65625,91.5625,143.63058323873753,230.53955078125,247,171,173,178
48,48,47.53125,70.75,73.375,110.875,0.73486328125,60.453125,90.8125,143.55513926448984,230.01806640625,248,176,177,183
49,49,47.78125,70.25,73.4375,110.625,0.74169921875,60.609375,90.4375,143.61317309083424,229.75732421875,248,172,173,180
50,50,47.4375,70.5,73.25,110.25,0.7373046875,60.34375,90.375,143.5145155860488,229.7138671875,247,173,174,181
51,51,47.75,70.0625,73.25,110.6875,0.744140625,60.5,90.375,143.57254941239316,229.7138671875,249,173,174,180
52,52,48.375,70.3125,73.5,110.0625,0.728515625,60.9375,90.1875,143.7350441261574,229.58349609375,246,173,174,181
